optimizer,num_independent_ops,candidate_orders,dp_states,repeats_completed,mean_seconds,median_seconds,min_seconds,max_seconds,status
dp_optimizer,0,1,1,3,3.969833778683096e-05,2.7175003197044134e-05,2.2310006897896528e-05,6.961000326555222e-05,ok
dp_optimizer,1,1,2,3,0.00021274766186252236,0.00014071000623516738,0.00012487398635130376,0.00037265899300109595,ok
dp_optimizer,2,2,4,3,0.00028994733293075114,0.00029879399517085403,0.00021368000307120383,0.0003573680005501956,ok
dp_optimizer,3,6,8,3,0.0008658943309759101,0.0005012979963794351,0.0003858019917970523,0.0017105830047512427,ok
dp_optimizer,4,24,16,3,0.0007698133364707852,0.0007576070056529716,0.000753412998165004,0.0007984200055943802,ok
dp_optimizer,5,120,32,3,0.0017334349977318197,0.0017161279974970967,0.0017024359985953197,0.001781740997103043,ok
dp_optimizer,6,720,64,3,0.004744188001495786,0.004655456999898888,0.004621091007720679,0.004956015996867791,ok
dp_optimizer,7,5040,128,3,0.011529698667194074,0.011062082994612865,0.010652607001247816,0.01287440600572154,ok
dp_optimizer,8,40320,256,3,0.02987244066995724,0.029735484000411816,0.028656775000854395,0.031225063008605503,ok
dp_optimizer,9,362880,512,3,0.07818418166910608,0.07784194299892988,0.07648637000238523,0.08022423200600315,ok
dp_optimizer,10,3628800,1024,3,0.24565063399495557,0.19479823499568738,0.18598552499315701,0.3561681419960223,ok
