num_independent_ops,candidate_orders,repeats_completed,mean_seconds,median_seconds,min_seconds,max_seconds,status
1,1,1,0.00027414807118475437,0.00027414807118475437,0.00027414807118475437,0.00027414807118475437,ok
2,2,1,0.0003348251339048147,0.0003348251339048147,0.0003348251339048147,0.0003348251339048147,ok
3,6,1,0.0011087199673056602,0.0011087199673056602,0.0011087199673056602,0.0011087199673056602,ok
4,24,1,0.0037791228387504816,0.0037791228387504816,0.0037791228387504816,0.0037791228387504816,ok
5,120,1,0.01848292490467429,0.01848292490467429,0.01848292490467429,0.01848292490467429,ok
6,720,1,0.12407473614439368,0.12407473614439368,0.12407473614439368,0.12407473614439368,ok
7,5040,1,1.4308162219822407,1.4308162219822407,1.4308162219822407,1.4308162219822407,ok
8,40320,1,11.721452250145376,11.721452250145376,11.721452250145376,11.721452250145376,ok
9,362880,1,124.91784064890817,124.91784064890817,124.91784064890817,124.91784064890817,ok
10,3628800,1,1419.7671867979225,1419.7671867979225,1419.7671867979225,1419.7671867979225,ok
