workload,cell,optimizer,identity,round,throughput_samples_per_sec,perf_time_sec,setup_time_sec,num_samples,n_local_workers,stage_widths,fused,stages,status,commit,results_path
simclrv2,w_cell_W1,pico_final,"final PICO (W-only, representation-aware compute)",1,91.19305550164754,103.86755820270628,3.0608280361630023,9472,1,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W1.json
simclrv2,w_cell_W16,pico_final,"final PICO (W-only, representation-aware compute)",1,1145.1195470178216,8.271625460125506,8.735179698094726,9472,16,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W16.json
simclrv2,w_cell_W4,pico_final,"final PICO (W-only, representation-aware compute)",1,342.1812461659092,27.68123649712652,4.142941465601325,9472,4,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W4.json
simclrv2,w_cell_W64,pico_final,"final PICO (W-only, representation-aware compute)",1,2272.1774332225423,4.168688528239727,25.48686228785664,9472,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W64.json
simclrv2_cache,ablation_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2430.6015338023385,31.165947583969682,123.46895322669297,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,pico_final_no_boundary,final PICO without the boundary term,1,2364.9361133669877,32.03130924841389,140.09528673114255,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,pico_byte_proportional,"byte-proportional compute, same W-only search",1,2433.854197497517,31.124296631198376,133.7072104178369,75752,64,,"[[3, 6, 2, 4, 5, 7, 1]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,simple_dp_workers_boundary,"byte affine compute, same W-only search",1,2508.680370590516,30.195955167524517,131.6961784348823,75752,64,,"[[6, 3, 2, 4, 5, 7, 1]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,main_fast,optimizer,Cedar native staged optimizer,1,671.8238543404525,112.75574618345127,24.587941262405366,75752,64,1,"[[5, 4, 2]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/main_fast.json
simclrv2_cache,main_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2450.690381675889,30.910473459400237,125.52183182910085,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/main_fast.json
simclrv2_cache,main_fast,plumber_optimizer,Plumber strategy inside Cedar,1,140.21870130551665,540.241774418857,2.31884848093614,75752,1,"30,2,25,6",[],"[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_Grayscale:SMP"", ""MapperPipe_ColorJitter:SMP"", ""MapperPipe_RandomResizedCrop:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/main_fast.json
simclrv2_cache,main_fast,raydata_optimizer,Ray Data strategy inside Cedar,1,101.93690122622722,743.1263761087321,11.779247904196382,75752,1,64,"[[7, 6, 5, 4, 3, 2, 1]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/main_fast.json
