optimizer	label	valid_baselines	valid_optimizer_runs	geomean_all_valid	geomean_common	common_workloads	total_setup
dp_cedar_optimizer	DP-Cedar	14	14	1.0	1.0	9	62.58857102195179
dj_optimizer	Data-Juicer	14	14	0.9536719359155789	0.8376225407326348	9	50.21207117796075
pecan_optimizer	Pecan	14	14	1.0828744229856067	1.0704144773049196	9	50.128976937994594
dp_optimizer	DP (ours)	14	14	1.3537978906938457	1.1390828983319947	9	173.1016504809886
optimizer	Cedar	14	9	1.0098527625768259	1.0098527625768259	9	1697.0471706000826
