optimizer,num_independent_ops,candidate_orders,dp_states,repeats_completed,mean_seconds,median_seconds,min_seconds,max_seconds,status
dp_optimizer,2,2,4,3,0.00015589804388582706,0.00013561081141233444,0.00013393815606832504,0.0001981451641768217,ok
dp_optimizer,3,6,8,3,0.00018476593929032484,0.00018468592315912247,0.00017852499149739742,0.00019108690321445465,ok
dp_optimizer,4,24,16,3,0.0002793796981374423,0.00027658697217702866,0.00027558207511901855,0.0002859700471162796,ok
dp_optimizer,5,120,32,3,0.0005165136729677519,0.0004947851411998272,0.0004888980183750391,0.0005658578593283892,ok
dp_optimizer,6,720,64,3,0.0009856844941775005,0.000983053119853139,0.0009764852002263069,0.0009975151624530554,ok
dp_optimizer,7,5040,128,3,0.0021443043369799852,0.002134560141712427,0.0021284448448568583,0.0021699080243706703,ok
dp_optimizer,8,40320,256,3,0.0047288987164696055,0.004706274950876832,0.004675692180171609,0.004804729018360376,ok
dp_optimizer,9,362880,512,3,0.011965663094694415,0.01155894622206688,0.011175367049872875,0.013162676012143493,ok
dp_optimizer,10,3628800,1024,3,0.027951358041415613,0.02774157701060176,0.027350610122084618,0.02876188699156046,ok
dp_optimizer,11,39916800,2048,3,0.06978275386306147,0.06976567395031452,0.06961798085831106,0.06996460678055882,ok
dp_optimizer,12,479001600,4096,3,0.1812026946960638,0.18139908416196704,0.1799588529393077,0.18225014698691666,ok
dp_optimizer,13,6227020800,8192,3,0.4746416570463528,0.47498754505068064,0.4716134211048484,0.47732400498352945,ok
dp_optimizer,14,87178291200,16384,3,1.342840561022361,1.2871773771476,1.2600600370205939,1.4812842688988894,ok
dp_optimizer,15,1307674368000,32768,3,3.6903883134170123,3.6953798870090395,3.671575131127611,3.704209922114387,ok
dp_optimizer,16,20922789888000,65536,3,10.135123864359533,10.15845672111027,10.05274885497056,10.19416601699777,ok
dp_optimizer,17,355687428096000,131072,3,28.946369347240154,29.006072329822928,28.812840171856806,29.02019554004073,ok
dp_optimizer,18,6402373705728000,262144,3,83.49813437803338,83.38150553102605,83.3492554561235,83.76364214695059,ok
dp_optimizer,19,121645100408832000,524288,3,244.71319149131887,244.64340254408307,244.26643068599515,245.22974124387838,ok
