schema_version,position,pipe_id,tag,name,kind,scaling,source_record_index,input_bytes,snapshot_bytes,input_sha256,calls_per_repeat,repeats,rate_records_per_sec,rate_q1_records_per_sec,rate_q3_records_per_sec,latency_ns_per_record,throughput_mib_per_sec
1,2,17,clean_email,MapperPipe_CleanEmailMapper,mapper,per_data,2983,39288,9907,7d7276d2854992522e7f17605d8b14346086163290512c8dacf0ce0f63a65e84,129,7,2564.355380693465,2561.1627469156947,2564.546912540659,389961.55038759694,96.08115596455083
1,2,17,clean_email,MapperPipe_CleanEmailMapper,mapper,per_data,1289,55896,14062,c189383115776fea0847b43a217f9ba38cb2da44008b9095f75233cfc41b6abd,91,7,1807.0821455657094,1806.0268923800672,1807.7972852765724,553378.2747252746,96.3293682179841
1,2,17,clean_email,MapperPipe_CleanEmailMapper,mapper,per_data,103,218792,55329,edc3ff8792bfd2c99ac4b26ee0fc250d241713d59d06c3646d6f42d0ffe0b8aa,23,7,452.95397479519886,452.90658202242366,453.19228150566096,2207729.8260869565,94.51170544947733
1,2,17,clean_email,MapperPipe_CleanEmailMapper,mapper,per_data,26,311912,78160,dcce4f886a48076742603555a8eb55722938c9e4ef309346e4e1be7b6090779c,16,7,310.850186918103,310.70408913564603,310.86528880507245,3216983.75,92.46626234245238
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,4124,1368,574,ea9d0486626544f251ba976ecf665819cf4aaaaab4968107356d89828c0448ca,1427,7,33303.01288880276,33218.716481660704,33372.27571350182,30027.31324456902,43.44799197376459
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,782,1784,782,15bfd75bb72017ec506ce92822335c7a01da8cad4b0aead4fb0b4c5ff121b48f,799,7,18620.85987961416,18605.30968842016,18627.809839180838,53703.21276595745,31.680692696792278
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,1566,3240,1511,5813b6ef135953198704b13b8ad6ee180ba8071719917b5c51b112c255c5c299,340,7,7363.897043622752,7354.786072429595,7371.67647303007,135797.66176470587,22.753740712487904
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,3345,4744,2265,47ff4e6c9faa4a2d4fb2d6d5235244949d8e1d95612b301eb9fc688ad30282cc,222,7,4398.705219323306,4396.22894687049,4408.779409627647,227339.62612612612,19.900758324117433
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,110,9592,4689,ad12f5455df16fb907e4f4717a8f10a13ba8c33e3a2ccf2afffea481b053408a,105,7,2097.3626084671046,2096.871166498504,2098.8520085982436,476789.27619047626,19.185926571289507
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,2316,14296,2542,211c85b730ace7fb1a6a692cd0ebd1c671257acc0bcf9a258427c8e320d521ec,200,7,4067.0212566933005,4063.876477880076,4069.1429585461588,245880.19999999998,55.44866169518225
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,108,27680,4769,af0c87e4eb8a9c38c6382517d081e8793d257c5710d51556f7468946a5bafe10,104,7,2067.5603165991497,2066.3790268671833,2068.318040826963,483661.8269230769,54.578847468819106
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,1250,38936,6644,7b2babe1df5bf72a3bd4ffb2dce085dab13b93905b66f5eccb67c407deb9edca,99,7,2012.4877507595313,2009.005014091917,2012.7022656501551,496897.4343434343,74.72822481496154
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,459,80040,13498,9b4d80f4fa5065208e355cd93b30b3f5b73195fc2ac3bc542924ebad1df5eb3d,35,7,690.6910047758323,689.147649483522,692.0316258092321,1447825.4285714284,52.72188951707613
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,177,109504,43817,df049dd218e4c4f0786271df09acf5588b242c303aeffe7ed1aaf44ea391aac8,21,7,418.5480818170615,418.22226669017084,419.2630668271421,2389211.761904762,43.709458495421885
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,103,328856,55329,edc3ff8792bfd2c99ac4b26ee0fc250d241713d59d06c3646d6f42d0ffe0b8aa,9,7,169.0580618267122,168.7038027555793,169.09263028594052,5915127.555555555,53.02024648674513
1,3,16,clean_links,MapperPipe_CleanLinksMapper,mapper,per_data,26,467624,78160,dcce4f886a48076742603555a8eb55722938c9e4ef309346e4e1be7b6090779c,6,7,118.24498662442272,117.67076983657671,118.29007554933051,8457018.166666666,52.73265230680375
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,1467,1264,750,0f94fde3d18720b5165181e70983bfc701fe4554b0a222c9be0fbb11ddf8a4a0,813,7,19844.305920503517,19812.697415600684,19865.34953323003,50392.28905289053,23.921206172481963
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,4494,1608,692,71c4e2127c1c48fd1a1dd87067e58d0307865d94a6b7f43b611134f40556dec2,695,7,17548.3567062295,17513.185700854745,17579.14650612953,56985.39280575539,26.910550674073253
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,3579,3448,1616,8387869de5cfd0dc2c2adef451ce104ea17ac9075e9540fe6236cc3ec6f5bb38,215,7,4369.997039377819,4366.355960305442,4372.558580358051,228833.1069767442,14.369725982451174
1,4,15,fix_unicode,MapperPipe_FixUnicodeMapper,mapper,per_data,2805,4888,2330,6924fdf3ac74346b4fafe0554bc8e40cc269e46a4f433296a88f6c0c0e83ba04,129,7,2588.612053440592,2585.49096446536,2593.069562695592,386307.40310077515,12.066970555513013
