recipe	family	operator_count	reorderable_per_record_count	global_deduplicator_count	model_operator_count	operators
refined_recipes/pretrain/redpajama-cc-2019-30-refine.yaml	pretraining_text	17	16	1	2	document_simhash_deduplicator,clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter
refined_recipes/pretrain/redpajama-cc-2020-05-refine.yaml	pretraining_text	17	16	1	2	document_simhash_deduplicator,clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter
refined_recipes/pretrain/redpajama-cc-2021-04-refine.yaml	pretraining_text	17	16	1	2	document_simhash_deduplicator,clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter
refined_recipes/pretrain/redpajama-cc-2022-05-refine.yaml	pretraining_text	17	16	1	2	document_simhash_deduplicator,clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter
refined_recipes/pretrain/redpajama-cc-2023-06-refine.yaml	pretraining_text	17	16	1	2	document_simhash_deduplicator,clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter
refined_recipes/pretrain/redpajama-pile-stackexchange-refine.yaml	pretraining_text	17	16	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/pretrain/redpajama-wiki-refine.yaml	pretraining_text	17	16	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/video/data-juicer-sandbox-optimal.yaml	video_text	2	2	0	2	video_nsfw_filter,video_frames_text_similarity_filter
refined_recipes/video/data-juicer-sandbox-self-evolution.yaml	video_text	5	5	0	3	video_nsfw_filter,video_frames_text_similarity_filter,video_motion_score_filter,video_aesthetics_filter,video_duration_filter
refined_recipes/video/general-video-refine-example.yaml	video_text	7	7	0	6	language_id_score_filter,perplexity_filter,video_aesthetics_filter,video_frames_text_similarity_filter,video_motion_score_filter,video_nsfw_filter,video_watermark_filter
reproduced_bloom/bloom-oscar.yaml	multilingual_reproduction	14	13	1	2	language_id_score_filter,whitespace_normalization_mapper,punctuation_normalization_mapper,fix_unicode_mapper,remove_words_with_incorrect_substrings_mapper,remove_long_words_mapper,words_num_filter,character_repetition_filter,word_repetition_filter,special_characters_filter,stopwords_filter,flagged_words_filter,perplexity_filter,document_simhash_deduplicator
reproduced_redpajama/redpajama-arxiv.yaml	corpus_reproduction	5	5	0	0	remove_header_mapper,remove_comments_mapper,remove_bibliography_mapper,expand_macro_mapper,text_length_filter
reproduced_redpajama/redpajama-books.yaml	corpus_reproduction	1	0	1	0	document_simhash_deduplicator
reproduced_redpajama/redpajama-code.yaml	corpus_reproduction	7	6	1	0	document_deduplicator,clean_copyright_mapper,maximum_line_length_filter,average_line_length_filter,alphanumeric_filter,alphanumeric_filter,suffix_filter
reproduced_redpajama/redpajama-stackexchange.yaml	corpus_reproduction	2	2	0	1	clean_html_mapper,language_id_score_filter
