config,rounds,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,compute_ms_per_record_mean,compute_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev
L-U,3,10.528194180958662,0.16654282708368684,10.074136954705365,0.1667796254786162,0.4540572262532982,0.0015712378563937314
L-F,3,10.528103288038698,0.11610362470112716,10.0255246896438,0.11788984943742012,0.5025785983948988,0.0036756250963292506
R-U,3,35.08242339050132,0.9854203172721367,15.120689897317503,0.24733003581999707,19.961733493183818,1.0895394282062718
R-F,3,19.602214744832892,0.3397068449518764,12.109061053100262,0.13938717484413143,7.49315369173263,0.37017224963778245
