config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,0,4,124.420312,0.0,0.0,124.420312,31.105078,0.0,31.105078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,1,4,129.793363,0.0,0.0,129.793363,32.44834075,0.0,32.44834075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,2,4,117.478431,0.0,0.0,117.478431,29.36960775,0.0,29.36960775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,3,4,117.232123,0.0,0.0,117.232123,29.30803075,0.0,29.30803075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,4,4,131.237457,0.0,0.0,131.237457,32.80936425,0.0,32.80936425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,5,4,125.282833,0.0,0.0,125.282833,31.32070825,0.0,31.32070825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,6,4,116.323648,0.0,0.0,116.323648,29.080912,0.0,29.080912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,7,4,124.00138,0.0,0.0,124.00138,31.000345,0.0,31.000345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,8,4,126.163958,0.0,0.0,126.163958,31.5409895,0.0,31.5409895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,9,4,127.695029,0.0,0.0,127.695029,31.92375725,0.0,31.92375725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,10,4,134.044967,0.0,0.0,134.044967,33.51124175,0.0,33.51124175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,11,4,128.141898,0.0,0.0,128.141898,32.0354745,0.0,32.0354745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,12,4,140.199654,0.0,0.0,140.199654,35.0499135,0.0,35.0499135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,13,4,143.644273,0.0,0.0,143.644273,35.91106825,0.0,35.91106825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,14,4,129.827468,0.0,0.0,129.827468,32.456867,0.0,32.456867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,15,4,136.758348,0.0,0.0,136.758348,34.189587,0.0,34.189587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,16,4,133.444756,0.0,0.0,133.444756,33.361189,0.0,33.361189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,17,4,132.805694,0.0,0.0,132.805694,33.2014235,0.0,33.2014235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,18,4,120.461441,0.0,0.0,120.461441,30.11536025,0.0,30.11536025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,19,4,133.423854,0.0,0.0,133.423854,33.3559635,0.0,33.3559635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,20,4,133.18806,0.0,0.0,133.18806,33.297015,0.0,33.297015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,21,4,123.170596,0.0,0.0,123.170596,30.792649,0.0,30.792649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,22,4,139.379405,0.0,0.0,139.379405,34.84485125,0.0,34.84485125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,23,4,136.700183,0.0,0.0,136.700183,34.17504575,0.0,34.17504575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,24,4,126.880044,0.0,0.0,126.880044,31.720011,0.0,31.720011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,25,4,132.761914,0.0,0.0,132.761914,33.1904785,0.0,33.1904785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,26,4,129.353148,0.0,0.0,129.353148,32.338287,0.0,32.338287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,27,4,133.73068,0.0,0.0,133.73068,33.43267,0.0,33.43267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,28,4,128.788307,0.0,0.0,128.788307,32.19707675,0.0,32.19707675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,29,4,130.30243,0.0,0.0,130.30243,32.5756075,0.0,32.5756075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,30,4,144.386948,0.0,0.0,144.386948,36.096737,0.0,36.096737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,31,4,133.427285,0.0,0.0,133.427285,33.35682125,0.0,33.35682125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,32,4,132.713866,0.0,0.0,132.713866,33.1784665,0.0,33.1784665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,33,4,137.019134,0.0,0.0,137.019134,34.2547835,0.0,34.2547835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,34,4,140.095338,0.0,0.0,140.095338,35.0238345,0.0,35.0238345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,35,4,124.548803,0.0,0.0,124.548803,31.13720075,0.0,31.13720075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,36,4,136.510614,0.0,0.0,136.510614,34.1276535,0.0,34.1276535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,37,4,133.15362,0.0,0.0,133.15362,33.288405,0.0,33.288405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,38,4,136.169758,0.0,0.0,136.169758,34.0424395,0.0,34.0424395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,39,4,137.670174,0.0,0.0,137.670174,34.4175435,0.0,34.4175435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,40,4,143.272297,0.0,0.0,143.272297,35.81807425,0.0,35.81807425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,41,4,127.749151,0.0,0.0,127.749151,31.93728775,0.0,31.93728775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,42,4,128.077973,0.0,0.0,128.077973,32.01949325,0.0,32.01949325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,43,4,138.504799,0.0,0.0,138.504799,34.62619975,0.0,34.62619975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,44,4,139.461529,0.0,0.0,139.461529,34.86538225,0.0,34.86538225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,45,4,132.350243,0.0,0.0,132.350243,33.08756075,0.0,33.08756075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,46,4,133.449078,0.0,0.0,133.449078,33.3622695,0.0,33.3622695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,47,4,124.534412,0.0,0.0,124.534412,31.133603,0.0,31.133603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
