config,level,round,order_index,measured_batches,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,compute_ms_per_record_mean,other_ms_per_record_mean,actors,gcs_disabled
U,1,1,0,120,32.44900002916667,1.6534388767949948,0.0,32.44900002916667,3,True
U,4,1,1,120,45.61910013541667,3.4583725231534346,0.0,45.61910013541667,3,True
U,16,1,2,120,70.39701142916667,5.664948413922166,0.0,70.39701142916667,3,True
U,64,1,3,120,155.46695992708334,20.906843362990916,0.0,155.46695992708334,3,True
F,1,1,4,120,14.117758497916666,1.9160437939757904,0.0,14.117758497916666,1,True
F,4,1,5,120,20.7194825,2.828984951442122,0.0,20.7194825,1,True
F,16,1,6,120,47.43127461458334,12.969449398484972,0.0,47.43127461458334,1,True
F,64,1,7,120,197.36789731041665,48.073070655740175,0.0,197.36789731041665,1,True
U,4,2,0,120,45.316432129166664,3.0848182507570705,0.0,45.316432129166664,3,True
U,16,2,1,120,71.72443635208333,7.1380983253055525,0.0,71.72443635208333,3,True
U,64,2,2,120,167.22750361041665,29.524928567833207,0.0,167.22750361041665,3,True
F,1,2,3,120,14.6405862625,1.7232832011111983,0.0,14.6405862625,1,True
F,4,2,4,120,19.9250524625,3.303541943238372,0.0,19.9250524625,1,True
F,16,2,5,120,46.91522087083333,14.243280310429032,0.0,46.91522087083333,1,True
F,64,2,6,120,157.50664971875,57.80186030049212,0.0,157.50664971875,1,True
U,1,2,7,120,32.38294399583334,1.479480165374726,0.0,32.38294399583334,3,True
U,16,3,0,120,71.51943936041667,6.98507423137792,0.0,71.51943936041667,3,True
U,64,3,1,120,189.09536853541667,31.886826474265682,0.0,189.09536853541667,3,True
F,1,3,2,120,14.840548127083334,1.8386819670391057,0.0,14.840548127083334,1,True
F,4,3,3,120,21.900641564583335,2.297253226853823,0.0,21.900641564583335,1,True
F,16,3,4,120,44.90885902708333,11.972835021232921,0.0,44.90885902708333,1,True
F,64,3,5,120,135.6639295625,34.64256528982209,0.0,135.6639295625,1,True
U,1,3,6,120,32.331214097916664,1.5031931358703248,0.0,32.331214097916664,3,True
U,4,3,7,120,44.80304353541667,3.9100376734952844,0.0,44.80304353541667,3,True
