control,config,round,operator,events,wall_ms_mean,wall_ms_median,wall_ms_p90,wall_ms_max,cpu_ms_mean,cpu_ms_median,shape,dtype,contiguous,strides
control_interleaved,R-U,2,J_jitter,3032,1.1739816678759893,1.1247284999999998,1.366771,2.364019,1.1791780280343007,1.129049,1x244x244,torch.uint8,True,59536x244x1
control_interleaved,R-U,3,B_blur,3032,13.904594126649076,5.3998954999999995,48.944815,130.87362,13.956127927770448,5.4100215,1x244x244,torch.uint8,True,59536x244x1
control_interleaved,R-U,3,H_flip,3032,0.15255476451187336,0.15241100000000002,0.236183,0.309612,0.1530012397757256,0.1529935,1x244x244,torch.uint8,True,59536x244x1
control_interleaved,R-U,3,J_jitter,3032,1.1696438525725594,1.128298,1.340007,1.907883,1.1739413611477572,1.132739,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,1,B_blur,3116,9.38255752567394,2.5535955,34.139837,103.15449,9.379414140243902,2.5539585000000002,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,1,H_flip,3116,0.07386569672657253,0.078973,0.092195,0.170348,0.07392103498074454,0.0790675,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,1,J_jitter,3116,0.45322218741976894,0.4447255,0.474522,1.780262,0.45422645089858793,0.44609350000000003,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,2,B_blur,3116,9.430476030166881,2.5602790000000004,34.157252,103.358461,9.427993064505777,2.5605105,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,2,H_flip,3116,0.07372931578947368,0.0772485,0.091946,0.217916,0.07380426893453144,0.077377,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,2,J_jitter,3116,0.45577685494223363,0.447692,0.481628,1.097459,0.4570275799101412,0.4490675,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,3,B_blur,3116,9.533420913992297,2.5801214999999997,34.179261,102.681804,9.530270853979461,2.5797635000000003,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,3,H_flip,3116,0.07350567650834403,0.076216,0.091958,0.21881,0.07357165275994865,0.0764345,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-F,3,J_jitter,3116,0.45537426604621306,0.445965,0.482327,1.201962,0.45649422304236204,0.4472215,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,1,B_blur,3116,9.856071883825418,3.795129,34.236005,103.77102,9.8531526415276,3.796467,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,1,H_flip,3116,0.05424350866495507,0.054194000000000006,0.091323,0.238309,0.05433540243902439,0.05434,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,1,J_jitter,3116,0.45666380584082156,0.448917,0.483001,0.826544,0.45757017490372276,0.4499475,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,2,B_blur,3116,9.465679428112965,2.591131,34.174178,102.306911,9.462378834724005,2.5910515,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,2,H_flip,3116,0.05202434948652118,0.0519345,0.090234,0.189703,0.05209402727856226,0.0520895,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,2,J_jitter,3116,0.45512780840821565,0.446136,0.482854,1.001196,0.456068682605905,0.4472305,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,3,B_blur,3116,9.524608631899872,2.6002520000000002,34.191011,103.256091,9.522177446084724,2.5994985,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,3,H_flip,3116,0.05220814088575096,0.052046499999999996,0.090282,0.182896,0.052320298138639275,0.052209000000000005,1x244x244,torch.uint8,True,59536x244x1
control_samecore,L-U,3,J_jitter,3116,0.45356164056482673,0.4454665,0.479876,1.006202,0.45448972272143773,0.4465805,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,1,B_blur,3116,11.072917292682927,3.607713,36.675198,160.718417,11.132015307766368,3.625156,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,1,H_flip,3116,0.10952252631578947,0.10279250000000001,0.155867,0.259124,0.11036182220795891,0.1031745,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,1,J_jitter,3116,0.691416599165597,0.6462645,1.006961,1.283807,0.6960940442875482,0.649323,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,2,B_blur,3116,10.478408963414635,3.2696595,34.655036,117.731816,10.522686660783057,3.275614,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,2,H_flip,3116,0.10169445314505776,0.0983275,0.142925,0.279899,0.10220698812580231,0.098717,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,2,J_jitter,3116,0.6459474935815148,0.6121165,0.890039,1.476197,0.6494445487804879,0.6155785,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,3,B_blur,3116,10.979726073491655,3.550731,36.620889,125.416008,11.024601349807446,3.576573,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,3,H_flip,3116,0.10591319929396663,0.099811,0.147674,0.253835,0.10652899679075738,0.100101,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-F,3,J_jitter,3116,0.6849863276636714,0.6464920000000001,0.998841,1.317513,0.6889618000641848,0.6495115,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,1,B_blur,3116,13.742287670410782,5.4781175,45.287746,123.872386,13.791528722400514,5.491604499999999,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,1,H_flip,3116,0.16091907798459565,0.15822150000000001,0.267862,5.646952,0.1619406550064185,0.1592715,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,1,J_jitter,3116,1.191409760911425,1.1419769999999998,1.387468,27.340774,1.1871722066752246,1.145789,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,2,B_blur,3116,13.990919495507061,5.5874905,46.305228,129.674018,14.037252939345313,5.607192,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,2,H_flip,3116,0.15911217458279847,0.15720099999999998,0.270921,0.345,0.1600815462130937,0.15805249999999998,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,2,J_jitter,3116,1.2012947785622594,1.151113,1.39237,2.230081,1.2073357711810013,1.156671,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,3,B_blur,3116,14.095924453465981,5.570533,46.31343,128.903326,14.143001415917842,5.5867675000000006,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,3,H_flip,3116,0.16252013350449293,0.15987,0.26792,0.391077,0.16316026636713737,0.160599,1x244x244,torch.uint8,True,59536x244x1
control_samecore,R-U,3,J_jitter,3116,1.214126064826701,1.1543325,1.410816,2.172356,1.220433045571245,1.1582555,1x244x244,torch.uint8,True,59536x244x1
