config,round,measured_batches,measured_records,source_records,compute_B_blur_ms_per_record_mean,compute_H_flip_ms_per_record_mean,compute_J_jitter_ms_per_record_mean,compute_sum_ms_per_record_mean,compute_sum_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,elapsed_ms_per_batch_mean,elapsed_ms_per_batch_stdev,elapsed_ms_per_batch_p50,elapsed_ms_per_batch_p90,compute_sum_ms_per_batch_mean,other_overhead_ms_per_batch_mean,identity_error_ms_per_batch_max,schema_source
L-U,2,774,3096,4,9.763378263888889,0.04621771996124031,0.44392957655038756,10.253525560400517,8.034611310814366,0.3913434260335918,0.014251389695562649,10.644868986434108,8.037215927209656,42.579475945736434,32.148863708838626,32.955174,87.867431,41.01410224160207,1.5653737041343672,0.0,legacy_v1_recovered
L-F,2,774,3096,4,9.694814571705427,0.06438455135658915,0.45361277422480617,10.212811897286823,8.043218987815786,0.4376937225452196,0.014246321036096351,10.65050561983204,8.04426669404438,42.60202247932816,32.17706677617752,33.475687,89.293298,40.85124758914729,1.7507748901808784,0.0,legacy_v1_recovered
R-U,2,774,3096,4,13.914654808785532,0.1293465684754522,1.1657794244186046,15.209780801679585,9.41286459362666,16.379820111111112,2.93684411800413,31.589600912790697,9.885944897622378,126.35840365116279,39.543779590489514,118.797524,181.322298,60.83912320671834,65.51928044444445,1.4210854715202004e-14,legacy_v1_recovered
R-F,2,774,3096,4,10.850137089147285,0.08626791052971576,0.6276814205426356,11.564086420219638,8.249575005847825,5.414215889857881,0.837652407785517,16.97830231007752,8.31979201355761,67.91320924031008,33.27916805423044,57.787862,114.122274,46.25634568087855,21.656863559431525,7.105427357601002e-15,legacy_v1_recovered
