plan,plan_order,measured_p10_sum_ms,measured_median_sum_ms,measured_mean_sum_ms,A,M1,M2,M3,M4,M2p,M3p,M4p
declared,9 8 7 6 5 4 3 2 1 0,13.094998942948841,18.03401385196592,27.503556907081762,27.454578104360394,27.265846076657088,23.416790604804984,15.207761753650779,15.207761753650779,23.41679060480498,15.207761753650779,15.207761753650779
pico,9 8 6 3 4 5 2 7 1 0,5.180811345525471,6.990313967485037,14.959544446475814,14.926848946479412,4.81730995355099,6.243716836187681,8.110226966768634,5.493917669234519,6.2269093720472375,8.110226966768634,5.493917669234519
cedar,9 8 5 6 3 4 2 7 1 0,4.159006705022614,5.035716488774033,13.32267314601253,13.433390551760807,4.578187988001008,6.270415851057542,8.388217228919476,4.652447353416128,6.253644523628,8.388217228919476,4.652447353416128
old-dp,9 7 6 5 4 3 2 1 0,11.295079211377807,31.95601385764977,83.70844088396147,86.33787709434431,116.68989179765137,125.68253352648118,35.62209052318551,15.981339213377833,125.68939679074347,35.62209052318551,15.981339213377833
v1,9 8 6 5 4 3 2 7 1 0,14.160075064991434,15.193108242677646,22.23365475118629,22.24632192860489,6.933403436819825,7.624765703780416,15.075688740985429,16.07486324035684,7.608607187644641,15.075688740985429,16.07486324035684
v2,9 8 7 3 6 5 4 2 1 0,4.424753972078454,8.980245585516283,18.687433107422418,18.71580015971317,17.845715466610525,17.99987565374891,8.520290241584826,4.3451020553824655,17.99996317784599,8.520290241584826,4.3451020553824655
