plan,operator,representation,calls,in_pipeline_p10_ms,in_pipeline_median_ms,in_pipeline_mean_ms,in_pipeline_p90_ms,M1_proportional,M2_affine_bytes,M3_affine_elements,M4_affine_representation
declared,N_normalize,"Tensor|torch.float32|[1, 244, 244]|True",636,0.1696387698299855,0.21413978739823186,0.2459844833521067,0.35457562292053263,0.24625334590219636,0.1127830402570575,0.11080148121569042,0.11080148121569042
declared,B_blur,"Tensor|torch.float32|[1, 244, 244]|True",636,2.5903216369871824,3.5730338005243607,10.417102505862948,35.75111010094296,10.407601359127463,12.404946462183622,2.572743366794345,2.572743366794345
declared,G_grayscale,"Tensor|torch.float32|[3, 244, 244]|False",636,0.2745030149114582,0.3709876265540813,0.44120367068750493,0.6489006644290574,0.44223809502475475,0.20509547492979568,0.18594672148468766,0.18594672148468766
declared,J_jitter,"Tensor|torch.float32|[3, 244, 244]|True",638,8.231744583299074,11.001714445405339,12.560777447177651,19.24674590059839,12.564180889936534,8.632434760437173,10.448192661325193,10.448192661325193
declared,H_flip,"Tensor|torch.float32|[3, 244, 244]|True",638,0.04886814793075514,0.12371936217417538,0.13860340630139303,0.2576033051963604,0.1386350158999541,0.07969917643998263,0.049005417774120964,0.049005417774120964
declared,C_crop,"Tensor|torch.float32|[3, 375, 500]|False",638,1.6912798949029753,2.5052480760167666,3.044279530895494,4.557924982317983,2.8602521943263657,1.7367392556420564,1.6933655701471682,1.6933655701471682
declared,F_to_float,"Tensor|torch.uint8|[3, 375, 500]|False",638,0.08864289508741291,0.24517075389296658,0.655605862804668,0.4357672113995287,0.6066851764398222,0.24509243491529561,0.1477065349095746,0.1477065349095746
pico,N_normalize,"Tensor|torch.float32|[1, 244, 244]|True",752,0.13830380184833516,0.18068079767312775,0.20631217333349458,0.2879624111340084,0.24625334590219636,0.1127830402570575,0.11080148121569042,0.11080148121569042
pico,B_blur,"Tensor|torch.uint8|[1, 244, 244]|True",754,2.5561981518266212,3.4912716349048307,10.616950553641791,33.71845316932356,2.6150756231925656,3.412447410086829,2.572743366794345,2.718907018666827
pico,G_grayscale,"Tensor|torch.uint8|[3, 244, 244]|True",756,0.22650540624030682,0.2973988041202858,0.33858779783326165,0.506685789250744,0.11075285019487545,0.08991723526196585,0.18594672148468766,0.21946835226431002
pico,J_jitter,"Tensor|torch.uint8|[1, 244, 244]|True",756,0.4487535472781885,0.569482392473787,0.6802406700367414,1.0584052997054878,1.0535386877031205,1.0846449556340585,3.4827308871083975,0.46926453296623283
pico,H_flip,"Tensor|torch.uint8|[1, 244, 244]|True",754,0.03450253264439991,0.0655301624232167,0.07225423915415449,0.12201735186600558,0.011624900500909351,0.032282681624991864,0.049005417774120964,0.02050522223093771
pico,C_crop,"Tensor|torch.uint8|[3, 375, 500]|False",756,1.7580371152944665,2.3623328044931724,3.0160625095641804,4.6667002804242275,0.7154621381688767,1.485543032486827,1.6933655701471682,1.9411062595428745
pico,F_to_float,"Tensor|torch.uint8|[1, 244, 244]|True",752,0.01851079039315277,0.02361737139661737,0.02913650291218878,0.045219479014779976,0.06460240788844544,0.026098480835950906,0.015633522244224773,0.013864802347647177
cedar,N_normalize,"Tensor|torch.float32|[1, 244, 244]|True",986,0.11176577699323455,0.12375299042396806,0.1308981534169182,0.15063530625681001,0.24625334590219636,0.1127830402570575,0.11080148121569042,0.11080148121569042
cedar,B_blur,"Tensor|torch.uint8|[1, 244, 244]|True",990,2.54581348989347,2.6433414139907168,9.49529143934599,33.13229181239325,2.6150756231925656,3.412447410086829,2.572743366794345,2.718907018666827
cedar,G_grayscale,"Tensor|torch.uint8|[3, 375, 500]|False",990,0.3128308290145313,0.9735610858170372,2.327735186319309,2.1820152112555626,0.34824680172517297,0.1724371534050944,0.5719285060228995,0.6809671947731686
cedar,J_jitter,"Tensor|torch.uint8|[1, 244, 244]|True",988,0.47889373336847013,0.5063682508010131,0.5147145605770501,0.5493591217180858,1.0535386877031205,1.0846449556340585,3.4827308871083975,0.46926453296623283
cedar,H_flip,"Tensor|torch.uint8|[1, 244, 244]|True",990,0.044631419910324946,0.07115333585651835,0.07042531864811676,0.09709648327017674,0.011624900500909351,0.032282681624991864,0.049005417774120964,0.02050522223093771
cedar,C_crop,"Tensor|torch.uint8|[1, 375, 500]|True",990,0.6494653519393518,0.6988586782656535,0.7628016187950517,0.8204149312781867,0.2388462210885965,1.42972212921356,1.5853740477597984,0.6381371012156244
cedar,F_to_float,"Tensor|torch.uint8|[1, 244, 244]|True",986,0.015606103903230499,0.01868073361912557,0.020806868910094305,0.028414323993979314,0.06460240788844544,0.026098480835950906,0.015633522244224773,0.013864802347647177
old-dp,N_normalize,"Tensor|torch.float32|[3, 375, 500]|False",635,0.3820544754074314,0.7859131687973427,1.485760977829066,1.6376177758330435,2.3229940253404626,0.6094190527356547,0.5270171740068933,0.5637300654498604
old-dp,B_blur,"Tensor|torch.float32|[3, 375, 500]|False",635,9.139617355760393,28.140675692313064,76.93852381854076,151.74908818471738,98.17854732816744,113.6917660601606,21.77270286762447,13.258970261323135
old-dp,G_grayscale,"Tensor|torch.float32|[3, 375, 500]|True",634,0.34640072066372124,0.773863022271485,1.4106660974079783,1.3459112578914838,1.3922120452121334,0.5351745026374399,0.5719285060228995,0.5719285060228995
old-dp,J_jitter,"Tensor|torch.float32|[1, 375, 500]|True",634,0.6368729735398518,1.1027499927613262,2.100629201717087,1.9773515293885857,13.189410807818204,9.042412233190996,10.968355975087755,0.8779605853889313
old-dp,H_flip,"Tensor|torch.float32|[1, 244, 244]|True",633,0.04817743669447929,0.11629900728804052,0.11986221656156189,0.1976987336707812,0.04626532754157243,0.0452149400045872,0.049005417774120964,0.02973564535082658
old-dp,C_crop,"Tensor|torch.float32|[1, 375, 500]|True",634,0.6399968218892719,0.7696380149808122,0.9658285960179022,1.5210139907438203,0.9537770871317239,1.5134543028365917,1.5853740477597984,0.5313076149326059
old-dp,F_to_float,"Tensor|torch.uint8|[3, 375, 500]|False",635,0.10195942742266054,0.26687495923769755,0.6871699758871334,0.5394030069037685,0.6066851764398222,0.24509243491529561,0.1477065349095746,0.1477065349095746
