config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_to_float_ms_per_batch,compute_to_float_ms_per_record,cpu_to_float_ms_per_batch,compute_crop_ms_per_batch,compute_crop_ms_per_record,cpu_crop_ms_per_batch,compute_flip_ms_per_batch,compute_flip_ms_per_record,cpu_flip_ms_per_batch
U,0,1,0,0,4,446.416961,26.21426,26.727208,420.202701,111.60424025,6.553565,105.05067525,3.1679769999999996,0.7919942499999999,3.17526,20.57742,5.144355,21.075827,2.468863,0.61721575,2.476121
U,0,1,0,1,4,464.720781,25.020022,25.12439,439.700759,116.18019525,6.2550055,109.92518975,3.164074,0.7910185,3.253984,19.407989,4.85199725,19.416823,2.447959,0.61198975,2.453583
U,0,1,0,2,4,472.800335,13.710056999999999,13.763449000000001,459.090278,118.20008375,3.4275142499999998,114.7725695,3.2181830000000002,0.8045457500000001,3.225454,7.969127,1.99228175,7.973429,2.522747,0.63068675,2.564566
U,0,1,0,3,4,452.342936,25.297767999999998,25.322080000000003,427.045168,113.085734,6.3244419999999995,106.761292,3.138822,0.7847055,3.14812,19.650748999999998,4.912687249999999,19.658849000000004,2.508197,0.62704925,2.515111
U,0,1,0,4,4,464.964073,25.690882999999996,25.726850999999996,439.27319,116.24101825,6.422720749999999,109.8182975,3.19365,0.7984125,3.202056,19.943326,4.9858315,19.963305,2.553907,0.63847675,2.56149
U,0,1,0,5,4,465.687291,25.897007,25.980966000000002,439.79028400000004,116.42182275,6.47425175,109.94757100000001,3.5073250000000002,0.8768312500000001,3.5159960000000003,19.83769,4.9594225,19.908262,2.551992,0.637998,2.556708
U,0,1,0,6,4,452.189393,26.417336000000002,26.465212,425.772057,113.04734825,6.604334000000001,106.44301425,3.375004,0.843751,3.3838179999999998,20.278007000000002,5.069501750000001,20.309553,2.764325,0.69108125,2.771841
U,0,1,0,7,4,459.675496,27.039292,27.143409000000002,432.636204,114.918874,6.759823,108.159051,4.867369,1.21684225,4.902795,19.876949,4.96923725,19.905175,2.294974,0.5737435,2.335439
U,0,1,0,8,4,447.986288,23.227003999999997,23.249346000000003,424.759284,111.996572,5.806750999999999,106.189821,3.139781,0.78494525,3.14705,18.033663999999998,4.5084159999999995,18.043669,2.053559,0.51338975,2.058627
U,0,1,0,9,4,458.627801,27.678397999999998,27.717751,430.94940299999996,114.65695025,6.9195994999999995,107.73735074999999,5.4940940000000005,1.3735235000000001,5.4942519999999995,19.845527999999998,4.9613819999999995,19.854671,2.338776,0.584694,2.3688279999999997
