config,level,round,order_index,measured_batches,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,compute_ms_per_record_mean,other_ms_per_record_mean,actors,gcs_disabled
U,0,1,0,120,121.282458775,107.30668479261057,6.637271829166666,114.64518694583333,3,True
F,0,1,1,120,28.404235504166664,14.218970831183002,6.590858639583333,21.813376864583333,1,True
P,0,1,2,120,51.11032156458334,14.120079612760593,6.397324083333333,44.71299748125,2,True
F,0,2,0,120,28.37513101875,14.47110033119168,6.593539670833334,21.781591347916667,1,True
P,0,2,1,120,51.63066935833333,14.608475471724027,6.704874014583334,44.925795343749996,2,True
U,0,2,2,120,121.56124449791668,108.15898182093449,6.8867380375,114.67450646041667,3,True
P,0,3,0,120,51.93432522083333,15.052381936212013,6.95849515625,44.975830064583334,2,True
U,0,3,1,120,121.77356345416666,108.0147892182952,6.950483227083334,114.82308022708334,3,True
F,0,3,2,120,28.162035060416667,14.169855602492877,6.508634172916667,21.653400887500002,1,True
