config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,0,4,284.722837,26.185008000000003,26.206809,258.53782900000004,71.18070925,6.546252000000001,64.63445725000001,6.115558999999999,1.5288897499999998,6.122315,10.795748,2.698937,10.803916,9.273701,2.31842525,9.280578
U,1,1,0,1,4,298.118284,22.195343,22.223016,275.92294100000004,74.529571,5.54883575,68.98073525000001,5.889806,1.4724515,5.897204,7.612311999999999,1.9030779999999998,7.620661999999999,8.693225,2.17330625,8.70515
U,1,1,0,2,4,233.969563,18.444952,18.475237,215.524611,58.49239075,4.611238,53.88115275,6.200546999999999,1.5501367499999998,6.210679,6.135304999999999,1.5338262499999997,6.1455210000000005,6.1091,1.527275,6.1190370000000005
U,1,1,0,3,4,129.638196,18.324548,18.356184999999996,111.313648,32.409549,4.581137,27.828412,6.141267,1.53531675,6.151794,6.050113,1.51252825,6.0603359999999995,6.133168,1.533292,6.144055
U,1,1,0,4,4,291.017539,35.367070999999996,35.568345,255.650468,72.75438475,8.841767749999999,63.912617,14.050466,3.5126165,14.235119000000001,11.105072,2.776268,11.113539,10.211533,2.55288325,10.219687
U,1,1,0,5,4,280.520666,19.726501999999996,19.963873,260.794164,70.1301665,4.931625499999999,65.198541,6.141998,1.5354995,6.35872,7.414175999999999,1.8535439999999999,7.424099,6.170328,1.542582,6.1810540000000005
U,1,1,0,6,4,139.801907,25.547812999999998,25.575061,114.25409400000001,34.95047675,6.3869532499999995,28.563523500000002,13.245728,3.311432,13.250909,6.146148,1.536537,6.157285,6.155937,1.53898425,6.166867
U,1,1,0,7,4,223.768792,21.863777,22.1102,201.905015,55.942198,5.46594425,50.47625375,9.449724,2.362431,9.460481999999999,6.164894,1.5412235,6.38912,6.249159,1.56228975,6.260598
U,1,1,0,8,4,269.99791,32.987066999999996,33.111645,237.010843,67.4994775,8.246766749999999,59.25271075,6.098541000000001,1.5246352500000002,6.107985,13.824812999999999,3.4562032499999997,13.806271,13.063713,3.26592825,13.197389000000001
U,1,1,0,9,4,218.655502,23.416826,23.448753,195.238676,54.6638755,5.8542065,48.809669,6.222196,1.555549,6.231887,6.231123,1.55778075,6.242908,10.963507,2.74087675,10.973958
U,1,1,0,10,4,129.896469,25.388271,25.420163,104.508198,32.47411725,6.34706775,26.1270495,8.756917999999999,2.1892294999999997,8.767259,6.162577000000001,1.5406442500000002,6.173278,10.468776,2.617194,10.479626
U,1,1,0,11,4,128.570652,26.14833,26.217893,102.422322,32.142663,6.5370825,25.6055805,13.785945,3.44648625,13.821969,6.191419,1.54785475,6.214434000000001,6.170966,1.5427415,6.18149
U,1,1,0,12,4,125.021827,22.773494999999997,22.839154999999998,102.248332,31.25545675,5.693373749999999,25.562083,6.263845,1.56596125,6.274281,6.05183,1.5129575,6.063102,10.45782,2.614455,10.501771999999999
U,1,1,0,13,4,126.931813,18.893569,18.950788,108.038244,31.73295325,4.72339225,27.009561,6.325468000000001,1.5813670000000002,6.359925,6.127703,1.53192575,6.139082,6.440398,1.6100995,6.451781
U,1,1,0,14,4,129.037479,25.800953999999997,25.876072999999998,103.236525,32.25936975,6.450238499999999,25.80913125,6.402367,1.60059175,6.469439,13.227409999999999,3.3068524999999998,13.224440999999999,6.171177,1.54279425,6.182193
U,1,1,0,15,4,130.729238,25.528190000000002,25.587924,105.20104800000001,32.6823095,6.3820475000000005,26.300262000000004,6.166131,1.54153275,6.176679999999999,13.221337000000002,3.3053342500000005,13.259809,6.140722,1.5351805,6.151434999999999
U,1,1,0,16,4,136.119825,25.795415,25.813971000000002,110.32441,34.02995625,6.44885375,27.5811025,9.105297,2.27632425,9.115462,6.094862,1.5237155,6.105594,10.595256,2.648814,10.592915
U,1,1,0,17,4,137.556844,29.192632999999997,29.304935,108.36421100000001,34.389211,7.298158249999999,27.091052750000003,8.782299,2.19557475,8.862619,13.303512999999999,3.3258782499999997,13.315006,7.106821,1.77670525,7.12731
U,1,1,0,18,4,141.565914,28.450735,28.514073999999997,113.11517899999998,35.3914785,7.11268375,28.278794749999996,9.127807,2.28195175,9.138491,13.173173,3.29329325,13.216123,6.149755,1.53743875,6.159459999999999
U,1,1,0,19,4,137.964065,31.883257,31.941771999999997,106.080808,34.49101625,7.97081425,26.520202,9.166117,2.29152925,9.176821,6.37649,1.5941225,6.413497,16.34065,4.0851625,16.351453999999997
U,1,1,0,20,4,126.004733,21.324087,21.363359,104.680646,31.50118325,5.33102175,26.1701615,6.164046999999999,1.5410117499999998,6.175674,6.0914980000000005,1.5228745000000001,6.109006,9.068542,2.2671355,9.078679
U,1,1,0,21,4,130.152979,22.926524999999998,22.957571,107.22645399999999,32.53824475,5.7316312499999995,26.806613499999997,9.305641999999999,2.3264104999999997,9.318677000000001,7.582765,1.89569125,7.5937019999999995,6.038117999999999,1.5095294999999997,6.045192
U,1,1,0,22,4,122.751204,20.166038999999998,20.189068,102.585165,30.687801,5.0415097499999995,25.64629125,8.556834,2.1392085,8.56393,7.061405,1.76535125,7.069452,4.5478000000000005,1.1369500000000001,4.555686000000001
U,1,1,0,23,4,126.31534,26.739953999999997,26.753963,99.57538600000001,31.578835,6.684988499999999,24.893846500000002,10.666465,2.66661625,10.674339,10.933057999999999,2.7332644999999998,10.942311,5.140431,1.28510775,5.137313
U,1,1,0,24,4,118.274416,16.728261,16.798724,101.546155,29.568604,4.18206525,25.38653875,7.312518,1.8281295,7.318720000000001,4.573207,1.14330175,4.629765000000001,4.842536,1.210634,4.850239
U,1,1,0,25,4,121.239489,18.515058,18.541511,102.72443100000001,30.30987225,4.6287645,25.681107750000002,5.078785,1.26969625,5.086224,5.14883,1.2872075,5.160284,8.287443,2.07186075,8.295003
U,1,1,0,26,4,113.717629,14.478589,14.572878,99.23904,28.42940725,3.61964725,24.80976,4.8263739999999995,1.2065934999999999,4.83183,4.580179,1.14504475,4.586463,5.072036,1.268009,5.154585
U,1,1,0,27,4,117.154591,16.699722,16.716759999999997,100.454869,29.28864775,4.1749305,25.11371725,7.779615,1.94490375,7.784568999999999,4.351977000000001,1.0879942500000002,4.35827,4.56813,1.1420325,4.5739209999999995
U,1,1,0,28,4,117.768069,18.943119,18.96134,98.82495,29.44201725,4.73577975,24.7062375,6.5064150000000005,1.6266037500000001,6.512236999999999,4.391329,1.09783225,4.397387,8.045375,2.01134375,8.051715999999999
U,1,1,0,29,4,115.544941,14.895346,14.983225000000001,100.64959499999999,28.88623525,3.7238365,25.162398749999998,4.587155,1.14678875,4.631084,4.573777000000001,1.1434442500000002,4.57957,5.734414,1.4336035,5.772570999999999
U,1,1,0,30,4,123.173556,19.886895,19.927494,103.28666100000001,30.793389,4.97172375,25.821665250000002,9.854475,2.46361875,9.86205,4.903612,1.225903,4.909673,5.128807999999999,1.2822019999999998,5.1557710000000005
