config,rounds,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,compute_ms_per_record_mean,compute_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,schema_source
L-U,1,10.349465476351352,0.0,0.0,0.0,10.349465476351352,0.0,legacy_v1_recovered
R-F,1,17.500457620495496,0.0,0.0,0.0,17.500457620495496,0.0,legacy_v1_recovered
