config,round,measured_batches,measured_records,source_records,compute_B_blur_ms_per_record_mean,compute_H_flip_ms_per_record_mean,compute_J_jitter_ms_per_record_mean,compute_sum_ms_per_record_mean,compute_sum_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,elapsed_ms_per_batch_mean,elapsed_ms_per_batch_stdev,elapsed_ms_per_batch_p50,elapsed_ms_per_batch_p90,compute_sum_ms_per_batch_mean,other_overhead_ms_per_batch_mean,identity_error_ms_per_batch_max,schema_source
L-U,1,222,888,4,0.0,0.0,0.0,0.0,0.0,10.349465476351352,7.920405801111818,10.349465476351352,7.920405801111818,41.397861905405406,31.681623204447273,20.089825,90.741776,0.0,41.397861905405406,0.0,legacy_v1_recovered
R-F,1,222,888,4,0.0,0.0,0.0,0.0,0.0,17.500457620495496,8.76671260866959,17.500457620495496,8.76671260866959,70.00183048198198,35.06685043467836,56.077709,118.526649,0.0,70.00183048198198,0.0,legacy_v1_recovered
