workload	entity	status	mean_execution_sec	sd_execution_sec	repeats	samples	measurement_kind	reasons
redpajama_c4	optimizer:dp_optimizer	success	346.8042699150198	1.2054103236433609	3	20000	exact measured execution	
redpajama_c4	system:pytorch	success	746.1906836566437	1.9935665946207106	3	20000	exact measured execution	
redpajama_c4	system:tensorflow	unsupported			0	20000		tf.py_function is GIL-bound for this opaque callback pipeline at W=8
redpajama_c4	system:ray	success	2496.319352027999	2.018655093292558	3	20000	exact measured execution	
redpajama_c4	system:plumber	unsupported			0	20000		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
redpajama_c4	system:fastflow	unsupported			0	20000		opaque callbacks cannot be serialized by tf.data service/FastFlow
pile_hackernews	optimizer:optimizer	optimizer_timeout			0	20000	exact measured execution	
pile_hackernews	optimizer:dj_optimizer	success	1308.2898613186553	6.215713366443661	3	20000	exact measured execution	
pile_hackernews	optimizer:dp_cedar_optimizer	success	1292.0863970946714	2.143826484435459	3	20000	exact measured execution	
pile_hackernews	optimizer:pecan_optimizer	success	1303.5993279080042	6.052610095940053	3	20000	exact measured execution	
pile_hackernews	optimizer:dp_optimizer	success	467.7318519193407	1.4370849785759365	3	20000	exact measured execution	
pile_hackernews	system:pytorch	success	3308.668174485676	14.180711640925196	3	20000	exact measured execution	
pile_hackernews	system:tensorflow	infeasible_timeout			0	20000		execution exceeded 3600s
pile_hackernews	system:ray	success	1659.3557576747069	4.396365087227584	3	20000	exact measured execution	
pile_hackernews	system:plumber	unsupported			0	20000		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
pile_hackernews	system:fastflow	unsupported			0	20000		opaque callbacks cannot be serialized by tf.data service/FastFlow
stackexchange	optimizer:optimizer	unavailable			0	10000	exact measured execution	
stackexchange	optimizer:dj_optimizer	success	281.67547959364794	1.7278678437053956	3	10000	exact measured execution	
stackexchange	optimizer:dp_cedar_optimizer	success	612.1751316493416	1.9403231507291672	3	10000	exact measured execution	
stackexchange	optimizer:pecan_optimizer	success	392.9929485859854	0.529506690816497	3	10000	exact measured execution	
stackexchange	optimizer:dp_optimizer	success	196.1246020690111	0.3840592913313179	3	10000	exact measured execution	
stackexchange	system:pytorch	success	650.0498220930264	1.9210061505077483	3	10000	exact measured execution	
stackexchange	system:tensorflow	infeasible_timeout			0	10000		execution exceeded 3600s
stackexchange	system:ray	success	432.09729409827077	0.6365157043557831	3	10000	exact measured execution	
stackexchange	system:plumber	unsupported			0	10000		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
stackexchange	system:fastflow	unsupported			0	10000		opaque callbacks cannot be serialized by tf.data service/FastFlow
pile_pubmed_abstracts	optimizer:optimizer	optimizer_timeout			0	20000	exact measured execution	
pile_pubmed_abstracts	optimizer:dj_optimizer	success	304.49832570699317	1.171135500624652	3	20000	exact measured execution	
pile_pubmed_abstracts	optimizer:dp_cedar_optimizer	success	303.68026134665706	0.46825700774480267	3	20000	exact measured execution	
pile_pubmed_abstracts	optimizer:pecan_optimizer	success	304.4615715396649	0.989823252420774	3	20000	exact measured execution	
pile_pubmed_abstracts	optimizer:dp_optimizer	success	201.51745070299754	0.3809615088284026	3	20000	exact measured execution	
pile_pubmed_abstracts	system:pytorch	success	374.5965387816541	0.4311696341026924	3	20000	exact measured execution	
pile_pubmed_abstracts	system:tensorflow	infeasible_timeout			0	20000		execution exceeded 3600s
pile_pubmed_abstracts	system:ray	success	383.70090342235443	0.5376637057369973	3	20000	exact measured execution	
pile_pubmed_abstracts	system:plumber	unsupported			0	20000		opaque Python callbacks cannot be modeled and safely reconstructed by Plumber
pile_pubmed_abstracts	system:fastflow	unsupported			0	20000		opaque callbacks cannot be serialized by tf.data service/FastFlow
pile_uspto_backgrounds	optimizer:optimizer	optimizer_timeout			0	20000	exact measured execution	
pile_uspto_backgrounds	optimizer:dj_optimizer	success	829.2515775853439	4.153244473311381	3	20000	exact measured execution	
pile_uspto_backgrounds	optimizer:dp_cedar_optimizer	success	916.6739054836798	7.416243591569622	3	20000	exact measured execution	
pile_uspto_backgrounds	optimizer:pecan_optimizer	success	890.2178617726507	3.254895034214414	3	20000	exact measured execution	
pile_uspto_backgrounds	optimizer:dp_optimizer	success	338.41713131899206	0.5640004822477153	3	20000	exact measured execution	
pile_uspto_backgrounds	system:pytorch	success	1467.803496077967	4.809939153375674	3	20000	exact measured execution	
pile_uspto_backgrounds	system:tensorflow	infeasible_timeout			0	20000		execution exceeded 3600s
