config,round,order_index,repeat,measured_batches,measured_records,source_records,actors,compute_B_blur_ms_per_record_mean,compute_H_flip_ms_per_record_mean,compute_J_jitter_ms_per_record_mean,compute_sum_ms_per_record_mean,compute_sum_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,cpu_sum_ms_per_record_mean,elapsed_ms_per_batch_mean,elapsed_ms_per_batch_stdev,elapsed_ms_per_batch_p50,elapsed_ms_per_batch_p90,compute_sum_ms_per_batch_mean,other_overhead_ms_per_batch_mean,identity_error_ms_per_batch_max
R-U,1,0,1,200,800,4,3,13.84112529,0.161372505,1.1962169975,15.1987147925,9.488537135150512,14.932640365,0.5681948984343234,30.131355157500003,9.629341564454506,15.257044794999999,120.52542063000001,38.517366257818026,100.838241,179.293614,60.79485917,59.73056146,0.0
R-F,1,1,1,200,800,4,1,9.71418706,0.0976173275,0.6191795975000001,10.430983985000001,8.121011936836068,4.91951552625,0.2932770873876904,15.35049951125,8.179285570362586,10.48406864,61.401998045,32.71714228145034,43.106652,111.243802,41.723935940000004,19.678062105,3.552713678800501e-15
R-F,2,0,1,200,800,4,1,9.7907620775,0.09659531875,0.62154240125,10.5088997975,8.117179335052976,4.8910972500000005,0.24341287914352622,15.399997047500001,8.114025025609337,10.55663582125,61.599988190000005,32.45610010243735,44.757149,111.612581,42.03559919,19.564389000000002,3.552713678800501e-15
R-U,2,1,1,200,800,4,3,13.20382258125,0.18205634125,1.200615615,14.5864945375,9.352784036051508,14.77274164,0.7151874520765085,29.3592361775,9.67153736342218,14.62178054125,117.43694471,38.68614945368872,103.401084,175.304463,58.34597815,59.09096656,0.0
