workload	optimizer	status	mean_execution_sec	sd_execution_sec	repeats	samples	speedup_vs_dp_cedar	speedup_sd	optimization_setup_sec	protocol	source
stackexchange	dj_optimizer	success	281.67547959364794	1.7278678437053956	3	10000	2.17333483387507	0.015006260511134116	2.860554257989861	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
stackexchange	pecan_optimizer	success	392.9929485859854	0.529506690816497	3	10000	1.557725485538578	0.005364886057614379	2.8625174650223926	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
stackexchange	dp_optimizer	success	196.1246020690111	0.3840592913313179	3	10000	3.1213581834773243	0.01162922385319496	25.876067923964	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
stackexchange	optimizer	unavailable		0.0	0				300.0	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2	dp_cedar_optimizer	success	12.887886019675838	0.598892813077004	3	9469	1.0	0.0	2.668847996974364	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2	dj_optimizer	success	31.662489829352126	0.40150329073265206	3	9469	0.40703956287507	0.019606506231548398	2.763114236993715	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2	pecan_optimizer	success	13.197919136359511	0.31662794896296403	3	9469	0.9765089395168706	0.05106837956764998	2.692172233015299	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2	dp_optimizer	success	12.603526976696836	0.4068472545433051	3	9469	1.0225618625250508	0.05785779986771622	2.795067241997458	fixed W=8; no wall-clock correction; three repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/dp_no_wall_clock
simclrv2	optimizer	success	13.094985500676557	0.3966321783157403	3	9469	0.9841848254822413	0.054591869404208196	2.931175233970862	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2_cache	dp_cedar_optimizer	success	14.23022334165095	0.23967833379715203	3	9469	1.0	0.0	2.6547175319865346	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2_cache	dj_optimizer	success	30.471317729679868	0.30229517729125555	3	9469	0.4670038712434919	0.009128734325258547	2.662657304026652	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2_cache	pecan_optimizer	success	13.939798516687006	0.046585708118429416	3	9469	1.0208342197067113	0.01752900375243179	2.6977862280327827	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
simclrv2_cache	dp_optimizer	success	10.898338813645145	0.13064812539408935	3	9469	1.3057240727214459	0.026993871404716548	2.869771428988315	fixed W=8; no wall-clock correction; three repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/dp_no_wall_clock
simclrv2_cache	optimizer	success	14.038195609988179	0.6951219108167177	3	9469	1.0136789468531229	0.053018068692304236	2.940769241016824	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103	dp_cedar_optimizer	success	61.526848201989196	1.3182776837678845	3	100000	1.0	0.0	7.831891730020288	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103	dj_optimizer	success	58.835624471345604	1.054289371060103	3	100000	1.045741398257008	0.029209241035656777	7.918126181000844	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103	pecan_optimizer	success	60.47692970101101	1.0259827022511436	3	100000	1.017360644896638	0.027803600453286552	7.873681425000541	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103	dp_optimizer	success	60.40201793533439	0.5137722643522669	3	100000	1.0186223954944524	0.02348197154186732	7.84975418302929	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103	optimizer	success	58.808084306986224	1.0012665225690631	3	100000	1.0462311249727274	0.028632358216744667	7.846779398038052	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103_cache	dp_cedar_optimizer	success	54.761588258688185	5.618286549808744	3	100000	1.0	0.0	7.868045614974108	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103_cache	dj_optimizer	success	57.234703127023145	2.951642709311836	3	100000	0.9567899415351857	0.10986585029267089	7.847175063972827	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
wikitext103_cache	pecan_optimizer	success	55.21588908066042	5.3973762148910716	3	100000	0.9917722809586823	0.14054137034321607	7.969113783969078	fixed W=8; three round-robin repeats	evaluation/chapter6_experiments/formal_results/paper_optimizer_w8/data/standard_core
