plan,operator,calls_expected,calls_measured,input_bytes_per_record,reference_input_bytes,reference_ms_per_record,proportional_pred_ms,affine_pred_ms,pico_pred_ms,measured_ms,error_proportional_pct,error_affine_pct,error_pico_pct,tiny_operator
declared,T  Batcher,2368,2368,238144.0,238144.0,0.058009444186373875,0.058009444186373875,0.058009444186373875,0.02543086361583846,0.058009444186373875,0.0,0.0,-56.1608217894078,True
declared,N  Normalize,2368,2368,238144.0,238144.0,0.24230155025337838,0.24230155025337838,0.24230155025337838,0.1126803489260548,0.24230155025337838,0.0,0.0,-53.49582006048939,True
declared,B  Blur,2368,2368,238144.0,238144.0,9.60336108445946,9.60336108445946,9.60336108445946,12.3840029984472,9.60336108445946,0.0,0.0,28.954882457637517,False
declared,G  Grayscale,2368,2368,714432.0,714432.0,0.35678579476351346,0.35678579476351346,0.35678579476351346,0.2050056237578997,0.35678579476351346,0.0,0.0,-42.54097927475432,False
declared,J  Jitter,2368,2368,714432.0,714432.0,8.516902817145269,8.516902817145269,8.516902817145269,8.627617326326721,8.516902817145269,0.0,0.0,1.2999386227417593,False
declared,H  Flip,2368,2368,714432.0,714432.0,0.12545610092905404,0.12545610092905404,0.12545610092905404,0.0796689125024026,0.12545610092905404,0.0,0.0,-36.496581742600384,False
declared,C  Crop,2368,2368,2664505.418918919,2664505.418918919,1.8830778433277027,1.8830778433277027,1.8830778433277027,1.7983787410681886,1.8830778433277027,0.0,0.0,-4.497907644106578,False
declared,F  to_float,2368,2368,666126.3547297297,666126.3547297297,0.44108393412162167,0.44108393412162167,0.44108393412162167,0.2900284592311849,0.44108393412162167,0.0,0.0,-34.24642413948944,False
declared,R  ImageReader,2368,2368,156.5777027027027,156.5777027027027,2.0612898201013516,2.0612898201013516,2.0612898201013516,1.9314723274146672,2.0612898201013516,0.0,0.0,-6.297876767290367,True
PICO,T  Batcher,2368,2368,238144.0,238144.0,0.058009444186373875,0.058009444186373875,0.058009444186373875,0.02543086361583846,0.04779553892173423,21.369997064715683,21.369997064715683,-46.79239069260876,True
PICO,N  Normalize,2368,2368,238144.0,238144.0,0.24230155025337838,0.24230155025337838,0.24230155025337838,0.1126803489260548,0.17236854349662162,40.57179189318115,40.57179189318115,-34.62824095380065,True
PICO,B  Blur,2368,2368,59536.0,238144.0,9.60336108445946,2.400840271114865,2.630383069142196,3.392007394997917,9.033149014358107,-73.4218901149671,-70.88077408043169,-62.44933644284676,False
PICO,G  Grayscale,2368,2368,178608.0,714432.0,0.35678579476351346,0.08919644869087837,0.1563333274936222,0.08982759904502657,0.2629272715371621,-66.07561925037078,-40.541227777687546,-65.83557174580487,False
PICO,J  Jitter,2368,2368,59536.0,714432.0,8.516902817145269,0.7097419014287724,1.0661070833314363,1.0799658210674474,0.4807324826858108,47.63760032679833,121.76722433549492,124.65006213721439,False
PICO,H  Flip,2368,2368,59536.0,714432.0,0.12545610092905404,0.01045467507742117,0.05078984311970973,0.032253286508586373,0.07877935135135135,-86.7291683695212,-35.52899046707053,-59.05870516153582,False
PICO,C  Crop,2368,2368,666126.3547297297,2664505.418918919,1.8830778433277027,0.47076946083192567,1.5715950569681978,1.500906162766424,1.8660404717060812,-74.77174434477773,-15.779154804111952,-19.567330638108974,False
PICO,F  to_float,2368,2368,59536.0,666126.3547297297,0.44108393412162167,0.03942251033217204,0.03942251033217204,0.025921710237382357,0.06141712162162163,-35.811856219758894,-35.811856219758894,-57.79400018600557,False
PICO,R  ImageReader,2368,2368,156.5777027027027,156.5777027027027,2.0612898201013516,2.0612898201013516,2.0612898201013516,1.9314723274146672,1.9910778585304054,3.526329282912571,3.526329282912571,-2.9936313570245026,True
Cedar,T  Batcher,2368,2368,238144.0,238144.0,0.058009444186373875,0.058009444186373875,0.058009444186373875,0.02543086361583846,0.043629664519988745,32.95872160510676,32.95872160510676,-41.711989089012086,True
Cedar,N  Normalize,2368,2368,238144.0,238144.0,0.24230155025337838,0.24230155025337838,0.24230155025337838,0.1126803489260548,0.13378128842905404,81.11766832166073,81.11766832166073,-15.772713621448894,True
Cedar,B  Blur,2368,2368,59536.0,238144.0,9.60336108445946,2.400840271114865,2.630383069142196,3.392007394997917,8.886468559966216,-72.9831906238805,-70.40013081245633,-61.8295234815886,False
Cedar,G  Grayscale,2368,2368,666126.3547297297,714432.0,0.35678579476351346,0.33266206004933807,0.33871458896181406,0.19462208587099944,1.5150756224662163,-78.04320423901773,-77.64371732082523,-87.15429890197845,False
Cedar,J  Jitter,2368,2368,59536.0,714432.0,8.516902817145269,0.7097419014287724,1.0661070833314363,1.0799658210674474,0.5279226516047297,34.4405092813058,101.94380371646947,104.56894921721367,False
Cedar,H  Flip,2368,2368,59536.0,714432.0,0.12545610092905404,0.01045467507742117,0.05078984311970973,0.032253286508586373,0.10773819003378379,-90.29622172588672,-52.85808764396042,-70.06327422200744,False
Cedar,C  Crop,2368,2368,222042.11824324325,2664505.418918919,1.8830778433277027,0.1569231536106419,1.5023766599994188,1.4348011453660319,0.7482723048986486,-79.02860327940418,100.77940211924744,91.74853004353432,False
Cedar,F  to_float,2368,2368,59536.0,666126.3547297297,0.44108393412162167,0.03942251033217204,0.03942251033217204,0.025921710237382357,0.04872489358108108,-19.091644055475104,-19.091644055475104,-46.79986279652491,False
Cedar,R  ImageReader,2368,2368,156.5777027027027,156.5777027027027,2.0612898201013516,2.0612898201013516,2.0612898201013516,1.9314723274146672,2.045696547297297,0.7622475984845217,0.7622475984845217,-5.58363458322003,True
old-dp,T  Batcher,2368,2252,238144.0,238144.0,0.058009444186373875,0.058009444186373875,0.058009444186373875,0.02543086361583846,0.06552909397339149,-11.475284230346624,-11.475284230346624,-61.19149209332144,True
old-dp,N  Normalize,2368,2252,2644348.8339248733,238144.0,0.24230155025337838,2.6905142345417485,1.519566682978497,0.7066620245531731,0.9976736850217673,169.6787812422903,52.3109916390491,-29.169022380523646,True
old-dp,B  Blur,2368,2252,2644348.8339248733,238144.0,9.60336108445946,106.63563510082083,103.54323727874116,133.52405992563337,52.70903725319911,102.30996553508236,96.4430440672804,153.32289657316647,False
old-dp,G  Grayscale,2368,2252,2644348.8339248733,714432.0,0.35678579476351346,1.320582085270335,1.0787702355237965,0.6198508132073999,1.059927050407951,24.59179004461312,1.777781320760991,-41.519483537208714,False
old-dp,J  Jitter,2368,2252,881449.6113082911,714432.0,8.516902817145269,10.507956919235403,10.417073387445885,10.552488947768646,1.3534238551938793,676.398086889796,669.6830041431203,679.6884107866557,False
old-dp,H  Flip,2368,2252,238144.0,714432.0,0.12545610092905404,0.04181870030968468,0.07115336797680363,0.045184820870536255,0.12342983138655897,-66.11945439776517,-42.35318384745687,-63.39230122657633,False
old-dp,C  Crop,2368,2252,881449.6113082911,2664505.418918919,1.8830778433277027,0.6229442136912268,1.605157001810882,1.5329585223265185,0.7190258985902929,-13.362757181270082,123.24049870219129,113.19934724632381,False
old-dp,F  to_float,2368,2252,661087.2084812183,666126.3547297297,0.44108393412162167,0.43774720012794954,0.43774720012794954,0.28783443731339226,0.4483711072223085,-2.3694450697715177,-2.3694450697715177,-35.80441900091479,False
old-dp,R  ImageReader,2368,2252,156.52455645300472,156.5777027027027,2.0612898201013516,2.0605901686082713,2.0612898201013516,1.9314723274146672,2.04614997450705,0.7057251072077548,0.7399186659301029,-5.60455726711872,True
