plan,workers,pico_objective,pico_system_cost_ms_per_record,cedar_cost_ms_per_record,cedar_block_cost_ms_per_record,cedar_block_external_ms_per_record,measured_throughput_mean,measured_throughput_stdev,measured_repeats,pico_predicted_speedup_vs_U,cedar_predicted_speedup_vs_U,measured_speedup_vs_U,pico_speedup_error_pct,cedar_speedup_error_pct
U,1,130.21713311499335,130.21713311499335,47.11590177492121,26.027261797535495,21.088639977385718,17.347658260981014,0.46749665984987093,3,1.0,1.0,1.0,0.0,0.0
P,1,71.8472414322248,71.8472414322248,26.69354802182359,5.604908044437869,21.088639977385718,46.988321357705125,1.143296497675833,3,1.812416601099852,1.7650670392860892,2.70862618174771,-33.08723760727991,-34.835340100449
F,1,48.913261562426015,48.913261562426015,25.62874725312099,4.540107275735272,21.088639977385718,52.63577214968924,1.8900617076319233,3,2.6622050739512124,1.8384005004061827,3.0341716073621035,-12.259245077251158,-39.41013435280015
