experiment,organisation,boundary_index,fixed_ms_per_record,byte_ms_per_record,total_ms_per_record,boundary_params
B_real_block,U,0,7.826634735068602,31.589535592312473,39.416170327381074,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
B_real_block,U,1,7.826634735068602,32.82530104121506,40.651935776283665,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
B_real_block,U,2,7.826634735068602,15.107345134730176,22.933979869798776,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
B_real_block,P,0,7.826634735068602,13.871579685827582,21.698214420896186,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
B_real_block,P,1,7.826634735068602,15.107345134730176,22.933979869798776,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
B_real_block,F,0,7.826634735068602,13.871579685827582,21.698214420896186,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
A_synthetic,U,total,23.479904205205806,15.107345134730174,38.58724933993598,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
A_synthetic,F,total,7.826634735068602,5.035781711576725,12.862416446645327,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
A_synthetic,P,total,15.653269470137204,10.07156342315345,25.724832893290653,"{""fixed_latency_ms"": 7.826634735068602, ""throughput_bytes_per_sec"": 94580747.79235658, ""r_squared"": 0.9959918320358959, ""method"": ""synchronous_round_trip_linear_fit""}"
